type,id,lat,lon,name
14,N281852898,42.7458785,-84.4828733,East Lansing Main Post Office
14,N283527908,48.1437543,-69.7182727,Postes Canada
14,N286080955,37.868025,-122.25681,United Postal Business Center
14,N286632291,48.5224205,-64.2132979,Canada Post
14,N287065309,27.9641125,-82.4375751,Ybor City Post Office
14,N287774106,40.1113579,-88.2071278,Urbana Post Office
14,N292159788,51.4778523,-120.7256007,Bridge Lake Store
14,N297340165,19.339131,-99.15118,Pacifico
14,N297132695,49.569727,-114.3782613,Post Office
14,N298552328,40.5537871,-75.5526459,East Texas Post Office
14,N300077238,45.5272292,-73.5894916,Bureau de poste
14,N301462760,34.3926333,-119.3009369,Oak View Post Office
14,N301474104,16.736142,-92.6399943,Servicio Postal Mexicano
14,N303684099,45.9717681,-81.5120069,Killarney
14,N303788546,43.2190359,-81.3015463,Granton Post Office
14,N304712434,36.07098,-115.1395713,Main Post Office
14,N308704882,43.4524285,-80.5557111,Short Stop
14,N310972976,37.7629904,-122.2428141,Park Central Station
14,N312813341,33.3699277,-112.5913346,Buckeye Post Office
14,N315295676,30.141048,-97.8275752,Post Office
14,N315635135,36.841668,-121.5347173,San Juan Bautista Post Office
14,N316516145,37.0088278,-121.5539343,PostNet
14,N316550921,32.7494173,-117.1507084,Hillcrest San Diego Post Office
14,N321556073,40.7916833,-89.3620464,Metamora IL
14,N324299035,45.6571198,-74.3322192,Bureau de Poste de Lachute
14,N338164226,49.1543361,-123.1574083,UPS Store
14,N339281044,27.5313037,-99.468769,Laredo Main Post Office
14,N341202582,51.1745491,-115.5722073,Canada Post Office
14,N341686119,44.9729165,-123.0108905,UPS
14,N343601217,37.377713,-122.0322128,US Post Office
14,N344230130,41.8541274,-72.917287,Canton Center Post Office
14,N348633915,21.1237156,-101.6813392,Correos
14,N349228456,43.7618332,-79.4105174,Sheppard Centre Gifts & Post
14,N349536387,42.6822678,-89.0221871,Janesville Post Office
14,N349536398,44.8596253,-92.6234502,River Falls Post Office
14,N349536427,45.9357872,-90.4479418,Park Falls Post Office
14,N349536439,44.7341341,-92.4663007,East Ellsworth Post Office
14,N349536451,44.7319119,-92.4824122,Ellsworth Post Office
14,N349536464,43.2947271,-87.9881454,Cedarburg Post Office
14,N349536482,43.3886136,-87.870644,Port Washington Post Office
14,N349536516,45.9155097,-89.2476321,Eagle River Post Office
14,N349536536,45.9943957,-89.5276435,Sayner Post Office
14,N349536557,46.0155065,-91.4862876,Hayward Post Office
14,N349536597,42.498904,-89.0381655,Beloit Post Office
14,N349536659,42.7741757,-88.9389989,Milton Post Office
14,N349536670,43.8794135,-90.16624,New Lisbon Post Office
14,N349536703,43.7488832,-87.977038,Plymouth Post Office
14,N349536751,43.7295624,-87.8121737,Sheboygan Falls Post Office
14,N349536764,44.1766583,-88.063988,Brillion Post Office
14,N349536783,44.5674644,-91.6715484,Mondovi Post Office
14,N349536795,44.0291581,-88.1612118,Chilton Post Office
14,N349536810,46.5888318,-90.8901873,Ashland Post Office
14,N349536839,45.533843,-92.0210127,Cumberland Post Office
14,N349536851,46.7793611,-90.7886245,La Pointe Post Office
14,N349536866,44.4488805,-88.0592695,De Pere Post Office
14,N349536879,44.8765918,-91.9275683,Menomonie Post Office
14,N349536893,45.5032905,-91.7326693,Rice Lake Post Office
14,N349536904,44.8352749,-87.3759309,Sturgeon Bay Post Office
14,N349536935,45.1810779,-89.6940149,Merrill Post Office
14,N349536965,43.0819443,-88.9109408,Lake Mills Post Office
14,N349536981,42.9266806,-88.8360656,Fort Atkinson Post Office
14,N349536995,43.0044482,-88.8056607,Jefferson Post Office
14,N349537006,42.7334859,-90.4794812,Platteville Post Office
14,N349537024,45.1394116,-89.154002,Antigo Post Office
